21-1 C400,Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
21-1 C400,10/22/2021,57.29,57.32,55.62,56.52,0.72000000000001,64,17249,24.58%,0.85949708803829,0.004071510277297,-0.059181177200734,0.49665470038383,0.52894538941454,56.520023386278,453.12,400
21-1 C400,10/21/2021,55.04,56.2,55.04,55.8,-0.080000000000005,12,17244,24.08%,0.86463842262877,0.004030072283621,-0.055776149176005,0.4871879413115,0.53652221936318,56.730025663987,453.59,400
21-1 C400,10/20/2021,55.5,56.01,55.37,55.88,1.84,26,17238,23.53%,0.86360204238,0.0041367615861686,-0.054095332746011,0.49106160191658,0.54233641364476,55.49002659541,452.41,400
21-1 C400,10/19/2021,52.81,54.19,52.75,54.04,2.42,54,17283,24.73%,0.84285637658617,0.0043060300534776,-0.062998314312174,0.54246857295712,0.56774338060469,54.655018082193,450.64,400
21-1 C400,10/18/2021,51.1,51.62,51,51.62,1.61,16,17272,24.35%,0.82920231071345,0.0046235723060942,-0.064903533681621,0.57185867272709,0.57499878920453,51.620031032021,447.19,400
21-1 C400,10/15/2021,48.89,50.2,48.89,50.01,2.69,41,17294,23.14%,0.83074927457316,0.0047836014101108,-0.059571811577643,0.57518740454801,0.58755489504847,50.010052695436,445.87,400
21-1 C400,10/14/2021,46.09,47.64,46.09,47.32,7.32,10,17357,23.19%,0.81208403264771,0.0051055752045067,-0.06344107371118,0.61351125173792,0.59151228981591,47.320040597992,442.5,400
21-1 C400,10/13/2021,40,40,40,40,-0.31,1,17357,22.75%,0.77416234274115,0.0058600012168267,-0.068856582382537,0.6775457797121,0.58881439753596,41.295042368201,435.18,400
21-1 C400,10/12/2021,41.12,41.51,40.31,40.31,-1.98,9,17357,22.53%,0.76572865401148,0.0060322362923046,-0.069068906937922,0.69268220303508,0.58970505278921,40.005038934863,433.62,400
21-1 C400,10/11/2021,43.85,46.12,42.12,42.29,-2.38,46,17340,23.68%,0.76157530342915,0.0057461350893708,-0.073619631851274,0.70490935601769,0.59645607386472,41.700054066045,434.69,400
21-1 C400,10/08/2021,45,45.85,44.67,44.67,-1.33,110,17431,23.58%,0.77741101004051,0.0054371803926106,-0.069495271769968,0.69261268464451,0.61898075198741,44.290048919918,437.86,400
21-1 C400,10/07/2021,46.3,47.95,46,46,4.24,26,17441,24.36%,0.77451036340609,0.0052658547175504,-0.07234268665538,0.70229045943313,0.62207024686955,45.515064668453,438.66,400
21-1 C400,10/06/2021,39,41.76,38.5,41.76,-0.71,95,17497,24.58%,0.75113715666814,0.0055236465941324,-0.076591949492836,0.7393343725504,0.62120847932334,42.87005324119,434.9,400
21-1 C400,10/05/2021,39.01,43,39.01,42.47,4.56,34,17497,24.44%,0.74106787269126,0.007511449365599,-0.077193476242901,0.75530697095313,0.61985085153538,41.495063350205,433.1,400
21-1 C400,10/04/2021,41.83,41.83,37.33,37.91,-2.6,82,17565,24.87%,0.71120367325761,0.0059017846420843,-0.082573756812097,0.79398407340714,0.61662837680387,38.685078154795,428.64,400
21-1 C400,10/01/2021,39,40.95,38.33,40.51,0.71,77,17584,24.65%,0.74267842585384,0.0054850702621201,-0.076282951559925,0.76855639116089,0.6432127461764,42.810052187618,434.24,400
21-1 C400,09/30/2021,43.9,43.9,39.73,39.8,-5.29,67,17637,25.40%,0.70817708867165,0.005694402050251,-0.083415691311485,0.81320715755817,0.63528386906597,39.800058046316,429.14,400
21-1 C400,09/29/2021,45.79,45.79,43.87,45.09,1.67,4,17638,26.00%,0.73313415358851,0.0052422259049517,-0.081892707625211,0.79101256723216,0.65545069460882,44.180041514137,434.45,400
21-1 C400,09/28/2021,47.4,47.4,43,43.42,-6.33,35,17633,25.86%,0.72857579369231,0.0053125174326316,-0.079983928571583,0.79819626716704,0.64353843765019,43.420045657975,433.72,400
21-1 C400,09/27/2021,49.96,50.03,49.26,49.75,0.14,9,17633,25.26%,0.77779911642076,0.0047803335511325,-0.069618808049335,0.73272639446662,0.66819213984104,49.750036549504,442.64,400
21-1 C400,09/24/2021,50.29,50.29,49.61,49.61,-0.69,51,17684,24.34%,0.78937637835338,0.0047293468899654,-0.06552382966754,0.72279129645266,0.70091842137761,50.510067067804,443.91,400
21-1 C400,09/23/2021,50.06,51.72,49.91,50.3,3.58,75,17683,24.76%,0.78171319774769,0.0064234638301493,-0.067919663435371,0.73986198576361,0.70075044315369,50.30006694426,443.18,400
21-1 C400,09/22/2021,45.3,47,45.05,46.72,1.72,21,17693,25.33%,0.75020021227001,0.0050158967581468,-0.074564535476813,0.79228884710176,0.69402578499004,46.720047003115,437.86,400
21-1 C400,09/21/2021,47.15,47.2,44.5,45,0,15,17697,25.09%,0.72861624833213,0.0053061923854888,-0.076490348405342,0.82343280058135,0.69785683631807,43.490063543492,433.63,400
21-1 C400,09/20/2021,45.7,46.22,42,45,-4.8,33,17694,25.82%,0.72576405653757,0.0051548959980401,-0.079282692935729,0.83197933785544,0.69955931181198,44.485072828287,434.04,400
21-1 C400,09/17/2021,51.1,51.24,49.43,49.8,-3.75,53,17694,24.59%,0.76963764586217,0.0048100826146402,-0.067980655076823,0.7791421414893,0.73292273761183,49.240050275129,441.4,400
21-1 C400,09/16/2021,51.79,53.55,51.1,53.55,0.29,265,17732,23.18%,0.80787897901579,0.004522738314328,-0.056717088921053,0.71074878580196,0.75382745290398,52.810049776549,447.17,400
21-1 C400,09/15/2021,50.69,53.27,50.47,53.26,2.69,19,17726,23.54%,0.80700492725566,0.0044407864432708,-0.057597503592688,0.71652992268418,0.75872296800839,53.680060659628,447.88,400
21-1 C400,09/14/2021,53.52,53.55,50.49,50.57,-2.39,40,17694,23.81%,0.78682391542903,0.0046726950014472,-0.061942363715092,0.75802437524328,0.75741935153436,51.005040633878,444.17,400
21-1 C400,09/13/2021,52,53.11,51.25,52.96,0.62,183,17497,24.25%,0.79339239897004,0.0044617413920543,-0.061897232645637,0.75090400738736,0.76766756365032,53.300047275954,446.58,400
21-1 C400,09/10/2021,55,55,52.33,52.34,-3.17,131,17497,24.47%,0.78425583617544,0.004494162679836,-0.063430810452346,0.77720138906472,0.77752011584664,52.755056295216,445.44,400
21-1 C400,09/09/2021,57.73,57.73,55.51,55.51,-0.98,4,17499,23.63%,0.80625341289296,0.004320796309779,-0.056839266196924,0.73649051242938,0.79299666637667,55.005033135655,448.98,400
21-1 C400,09/08/2021,55.65,56.49,55.65,56.49,-0.18,3,17500,23.45%,0.81585462003592,0.0041918726959171,-0.05436468791968,0.71849346447423,0.79042974121535,56.490035992283,450.91,400
21-1 C400,09/07/2021,57.91,57.91,56.67,56.67,-1.55,4,17500,23.55%,0.81642501750273,0.0041441832994087,-0.054354157750628,0.72056308909564,0.79648588879877,57.070030847194,451.46,400
21-1 C400,09/03/2021,58.52,58.52,58.22,58.22,0.54,10,17500,23.01%,0.82617126794,0.0040360049068906,-0.05030303081074,0.70695852589802,0.79491606364002,58.220060623822,453.08,400
21-1 C400,09/02/2021,58.58,58.79,57.68,57.68,-0.33,13,17500,22.91%,0.82674869641265,0.0040303219100135,-0.049726274490725,0.70808192986379,0.80104876420961,58.290039401165,453.19,400
21-1 C400,09/01/2021,57.84,58.01,57.84,58.01,0.69,2,17500,23.24%,0.81632669112001,0.0041112949278269,-0.052307871240076,0.7363128945915,0.82158066128102,57.440052154727,451.8,400
21-1 C400,08/31/2021,57.32,57.32,57.32,57.32,-1.14,4,17516,24.04%,0.80681204390449,0.0040792461500225,-0.056083415135649,0.76339771509901,0.84532030157902,57.91007111348,451.56,400
21-1 C400,08/30/2021,56.76,58.62,56.76,58.46,2.46,25,17516,23.26%,0.81638215188702,0.0040739761201404,-0.051958820216481,0.74187572850009,0.833037275072,57.910046763128,452.23,400
21-1 C400,08/27/2021,56,56.64,55.95,56,2.3,23,17593,22.67%,0.81112843523871,0.0042302802283657,-0.050593375558616,0.75941505352489,0.84715319985662,56.000062890637,450.25,400
